query,index_size,threads,nprobe,batch_size,num_retrieved_docs,avg_query_time,best_retrieved_ids
0,600m,64,256,1,10,7.238862037658691,"[963517, 863517, 763517, 663517, 563517, 463517, 363517, 263517, 163517, 63517]"
1,600m,64,256,1,10,5.908954620361328,"[980664, 880664, 780664, 680664, 580664, 480664, 380664, 280664, 180664, 80664]"
2,600m,64,256,1,10,5.815965175628662,"[948493, 848493, 748493, 648493, 548493, 448493, 348493, 248493, 148493, 48493]"
3,600m,64,256,1,10,5.930098295211792,"[997121, 897121, 797121, 697121, 597121, 497121, 397121, 297121, 197121, 97121]"
4,600m,64,256,1,10,6.019117832183838,"[931061, 831061, 731061, 631061, 531061, 431061, 331061, 231061, 131061, 31061]"
5,600m,64,256,1,10,5.773663282394409,"[995114, 895114, 795114, 695114, 595114, 495114, 395114, 295114, 195114, 95114]"
6,600m,64,256,1,10,5.558976411819458,"[946438, 846438, 746438, 646438, 546438, 446438, 346438, 246438, 146438, 46438]"
7,600m,64,256,1,10,5.653296709060669,"[926632, 826632, 726632, 626632, 526632, 426632, 326632, 226632, 126632, 26632]"
8,600m,64,256,1,10,5.80819845199585,"[984708, 884708, 784708, 684708, 584708, 484708, 384708, 284708, 184708, 84708]"
9,600m,64,256,1,10,5.493899822235107,"[968937, 868937, 768937, 668937, 568937, 468937, 368937, 268937, 168937, 68937]"
10,600m,64,256,1,10,5.875731468200684,"[967419, 867419, 767419, 667419, 567419, 467419, 367419, 267419, 167419, 67419]"
11,600m,64,256,1,10,5.834816932678223,"[941187, 841187, 741187, 641187, 541187, 441187, 341187, 241187, 141187, 41187]"
12,600m,64,256,1,10,5.826664209365845,"[982286, 882286, 782286, 682286, 582286, 482286, 382286, 282286, 182286, 82286]"
13,600m,64,256,1,10,5.84876012802124,"[958219, 858219, 758219, 658219, 558219, 458219, 358219, 258219, 158219, 58219]"
14,600m,64,256,1,10,5.84059739112854,"[966051, 866051, 766051, 666051, 566051, 466051, 366051, 266051, 166051, 66051]"
